id,title,search_word,condition,listing_type_id,category_id,domain_id,price,available_quantity,shipping.free_shipping,seller.id,seller.nickname,BRAND,GTIN,WEIGHT
MLA1420997327,Chromecast Google Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hd,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,110000.0,1,True,55668421,WWW.POWERPC.COM.AR,Google,,1 kg
MLA1855308276,Google Chromecast 4 Generación 4k Control De Voz Google Tv P,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,199999.0,500,True,131846678,DMAKER SA,Google,,63 g
MLA1827533080,Chromecast Google 4 Ga03131 Tv Hd 8gb 2gb Ram 60 Fps Wifi,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,95868.0,1,True,356287294,TECNO LIKE,Google,,1 kg
MLA1359104864,Chromecast Google Ga03131 Google Tv Hd 8gb Blanco,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,95900.0,250,True,456970476,PASCAL COMPUTACIÓN,Google,,1 kg
MLA1338922340,Chromecast 4° Google Tv Cargador Full Hd Cuot.s S/ Inter.s!,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,167095.95,1,True,247639927,RAPIDA_ENTREGA_,Google,,
MLA1817764946,Chromecast Google Ga03131 Tv Hd 8gb 2gb Ram 60 Fps Wifi,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,120000.0,1,True,1821614967,GLOBALGROUPINTERNATIONAL,Google,,0.063 kg
MLA1434786309,Chromecast 4 Generacion Google Tv Voz Original Ga03131,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,120000.0,1,True,1821614967,GLOBALGROUPINTERNATIONAL,Google,,112 g
MLA1817701526,Reproductor Multimedia Streaming Chromecast 4° Gen Google Tv,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,119000.0,1,True,13404008,NUBEL EMPRENDIMIENTOS,Google,,0.063 kg
MLA1430039936,Google Chromecast With Google Tv De Voz 4k Cargador Original,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,220847.81,1,True,247639927,RAPIDA_ENTREGA_,Google,,
MLA1832861512,Convertidor Tv Smart Chromecast De Google 2gb Ram Wifi 5.8,chromecast,new,gold_pro,MLA352001,MLA-STREAMING_MEDIA_DEVICES,137889.0,1,True,371664900,BIGSALEONLINE,Google,,0.063 kg
MLA1407145549,Google Chromecast Hd (4ta Generacion) Blanco+control,chromecast,new,gold_special,MLA352001,MLA-STREAMING_MEDIA_DEVICES,118999.0,100,True,214598734,TECNOCOMPRO.,Google,810037290042,0.063 kg
